Date,Samsung,Hyundai,SKHynix,KaKao,Naver
2020-04-17,0.047817874,0.014028286,0.03386055,0.038533871,0.048650509
2020-04-20,-0.025617164,-0.029280234,-0.02528732,0.017287359,0.005571045
2020-04-21,-0.01711164,-0.042916057,-0.008573231,0.00284293,-0.00836825
2020-04-22,0.012109129,-0.009672295,0.031479597,0.008508765,0.019418086
2020-04-23,0,-0.002162163,-0.015615933,0.046903784,0.043017385
2020-04-24,-0.010080731,-0.025206814,-0.014634408,-0.013547521,0.013072082
2020-04-27,0.010080731,0.016511107,0.014634408,0.005430222,0.025642431
2020-04-28,0.005002512,0.01731645,0.009638629,0.005427825,0.002528446
2020-04-29,-0.001998003,0.004282662,0.003590668,-0.005427825,-0.002528446
2020-05-04,-0.030459207,-0.022691411,-0.032789823,0.013501362,0.00756624
2020-05-06,0.014329826,0.018408749,0.017136282,0.067401208,0.06328145
2020-05-07,-0.008163311,-0.00645858,0,0.032045991,0.016374635
2020-05-08,0,0.020310693,0.03106582,0,-0.006984895
2020-05-11,-0.008230499,-0.008501645,-0.005899722,0.007253481,0.002333723
2020-05-12,-0.010384309,-0.01939716,0.014101291,0.033178567,0.023042494
2020-05-13,0.01347869,0.012973155,-0.024809306,0.009294005,-0.004566218
2020-05-14,-0.011393184,-0.008630043,-0.036544871,0.038507963,0.002285715
2020-05-15,-0.003129893,0,0.016000341,-0.015688959,-0.027779564
2020-05-18,0.019659195,-0.004343112,-0.00981603,-0.002251847,0.009345862
2020-05-19,0.030274764,0.075428412,0.019536641,-0.004541611,-0.007001195
2020-05-20,-0.005982072,-0.018330452,0.016786965,0.050947876,0.039040549
2020-05-21,-0.0010005,-0.001028278,-0.008358258,0.025602928,0.01342302
2020-05-22,-0.024317308,-0.028170877,-0.025502293,0.039224747,0.02415046
2020-05-25,0.002049181,0.015748357,0.001229256,0.081597741,0.044546071
2020-05-26,0.008154989,0.018576386,0.006123718,0.007426992,-0.008333382
2020-05-27,0.013111635,0.00306279,-0.006123718,-0.0358231,-0.044927342
2020-05-28,0.009970172,-0.009216655,0.03025034,0.024652495,0.051183879
2020-05-29,0.005934736,0.008196767,-0.029022593,-0.013204673,-0.06218509
2020-06-01,0.009813621,0.020202707,0.0254405,0.001907875,0.047525142
2020-06-02,0.00389864,0.024692613,-0.003594971,-0.017188146,-0.012739026
2020-06-03,0.058562529,0.056887374,0.06281134,-0.039314409,-0.037000956
2020-06-04,0.001833181,0,-0.01133799,0.017890839,0.030570066
2020-06-05,0.016349138,0.022780028,0.030322368,-0.011898208,-0.006472515
2020-06-08,-0.010869672,0.017857617,0.006615239,0.021677235,0.040302379
2020-06-09,0.010869672,-0.008888947,-0.013274531,-0.007819471,-0.012552466
2020-06-10,-0.001803427,-0.00447428,0.01107431,0.029036756,0.027000602
2020-06-11,-0.020055367,-0.027274418,-0.025656734,0.011382667,-0.014448136
2020-06-12,-0.037527856,-0.04717856,-0.038001118,0.003771854,0.006217637
2020-06-15,-0.046975368,-0.064860634,-0.038282187,-0.052072376,-0.044357853
2020-06-16,0.043143946,0.04534782,0.040626854,0.040732805,0.050537069
2020-06-17,0.001917546,-0.009901071,0.016260521,0,0.030335997
2020-06-18,0.001913876,-0.004987542,-0.006936444,0.001892578,-0.014042357
2020-06-19,0.011406968,0,-0.009324077,0,0.008048333
2020-06-22,-0.01715962,-0.015113638,-0.005872007,0.039083985,0.078963044
2020-06-23,-0.011605546,0.002028398,-0.009467526,0.026997882,0.021978907
2020-06-24,0.028765166,0.042644042,0.022340729,0.003551146,0.010810916
2020-06-25,-0.019084549,-0.035576875,-0.019965431,-0.028732365,-0.034643391
2020-06-26,0.026617541,0.006018072,0.003552402,0,-0.001857011
2020-06-29,-0.01702974,-0.023268627,-0.011890747,-0.025831729,-0.018762276
2020-06-30,0.007604599,0,0.017783515,0,0.011299555
2020-07-01,-0.003795071,0.005104656,0.002347419,0.007459398,0.007462721
2020-07-02,0.005687219,0.008113635,-0.010607053,0.057665642,0.029306127
2020-07-03,0.013145729,0.002018164,0.011778699,0.029336492,0.001803427
2020-07-06,0.025784117,0.022920784,0.007001195,0.021873908,0.014311514
2020-07-07,-0.029522439,-0.022920784,-0.014051753,0.032733664,-0.007130155
2020-07-08,-0.007518832,0.00402415,-0.013056565,0.054837118,0.010676258
2020-07-09,-0.003780723,0,-0.00839837,0.080501792,0.01754431
2020-07-10,-0.001895735,-0.013138137,-0.002412546,0,0.039220713
2020-07-13,0.01319529,0.032034771,0.002412546,-0.009886987,-0.006711435
2020-07-14,0.007462721,0,-0.001205546,-0.025908816,-0.034249923
2020-07-15,0.016590242,0.071289084,0.001205546,-0.016165991,-0.00174368
2020-07-16,-0.016590242,0.009132484,-0.003621006,-0.04701291,-0.048266741
2020-07-17,0.011090687,0.065957968,0.00241546,0.009271447,0.010929071
2020-07-20,-0.003683245,0.033475929,-0.00847976,-0.047241511,-0.048246834
2020-07-21,0.020092,0,0.022851265,0.019165237,0.026267927
2020-07-22,-0.010909199,-0.025001302,-0.010759219,0.006302426,0
2020-07-23,-0.011029524,0.049392755,-0.009661911,0.03553693,0.050552279
2020-07-24,0.001846723,-0.016194686,0.015653541,-0.015297248,-0.010619569
2020-07-27,0.025502293,0.008130126,-0.010810916,0.006153112,0.012378584
2020-07-28,0.052551495,-0.004056801,0.00361664,0.009144136,0.012227227
2020-07-29,0.006802747,0.016129382,0.001202646,0.006044956,0.013793322
2020-07-30,0,0.019802627,0.024927107,0.001501795,0.006825965
2020-07-31,-0.018820059,-0.007874056,-0.029746393,0.034063611,0.023530497
2020-08-03,-0.019181059,0.003944778,-0.012150818,0.063444676,0.043873811
2020-08-04,0.008764298,0.042395559,-0.002447982,0.010871512,-0.011191164
2020-08-05,-0.007005283,0.011257155,-0.011090687,0.001345624,0.008006448
2020-08-06,0.019147669,0.075439708,0.004944386,-0.01770438,0.026752185
2020-08-07,-0.008658063,0.017153079,-0.006184312,-0.030673713,-0.02515856
2020-08-10,0.005203828,0.14536585,0.009876623,0.008460573,-0.001593626
2020-08-11,0.006896579,0.051587369,-0.001229256,-0.009887076,-0.006400022
2020-08-12,0.013652089,-0.039891329,-0.003696862,0.004245273,-0.021087562
2020-08-13,-0.005097717,-0.01169604,-0.003710579,0.018199943,0.006535971
2020-08-14,-0.011996716,-0.017804625,-0.00621506,0.005526589,-0.006535971
2020-08-18,0.006872879,-0.055398779,-0.026533458,0.04186874,0.008163311
2020-08-19,-0.010327114,0.040315537,-0.040501943,-0.003975203,0.024097552
2020-08-20,-0.042409182,-0.059485453,-0.043603637,-0.032383654,-0.03062286
2020-08-21,0.008984786,0.00643089,0.036914649,0.014977285,0.022654691
2020-08-24,0.003571432,0.034649135,0.013333531,0.026666121,0.023716527
2020-08-25,0.005333346,0.027482646,0.019672766,0.002631839,0.015504187
2020-08-26,0,0.008995563,0.023107575,0.028463966,0.027315811
2020-08-27,-0.014285957,-0.024170361,0.003799878,0.046110916,0.008941937
2020-08-28,-0.003603608,0.050681486,-0.016571444,-0.012260203,-0.01194044
2020-08-31,-0.025595547,0.0258264,-0.035320872,0.003691421,-0.032039354
2020-09-01,0.003696862,0.019635975,0.001330672,-0.01360649,0.0061824
2020-09-02,0.003683245,-0.022472856,0.003981425,0.025821795,0.024354324
2020-09-03,0.036105005,0.002836881,0.041510499,-0.004873091,0.019360247
2020-09-04,-0.014285957,-0.02292364,0,-0.019696184,-0.031463269
2020-09-07,0.016057437,-0.014598799,-0.003819228,-0.025188162,-0.043552762
2020-09-08,0.038199089,-0.011834458,0.012674441,-0.005122335,-0.011191164
2020-09-09,-0.005123837,-0.002980628,-0.026804413,-0.015500394,-0.021121825
2020-09-10,0.013605652,0.008915364,-0.009096879,0.003897681,0.009804
2020-09-11,-0.003384098,0.014684552,0.023226851,-0.01700954,-0.004889985
2020-09-14,0.023451661,0.048373584,0.020202707,-0.014619098,-0.009852296
2020-09-15,0.009884759,-0.005571045,0.023472356,0.019889721,0.029270382
2020-09-16,0,0.024828862,-0.004895971,-0.010555957,-0.01615544
2020-09-17,-0.024897552,0.00272109,0.008552282,-0.016052564,-0.021399994
2020-09-18,-0.003367007,-0.016438726,0.018083675,0.00538399,-0.008354267
2020-09-21,-0.001687764,0.021858794,0.009512557,-0.023050714,-0.020339684
2020-09-22,-0.017036187,-0.030180617,-0.038605518,-0.032055184,-0.026020549
2020-09-23,0.006849342,0,0.027897504,0.034798782,0.041313965
2020-09-24,-0.013745921,-0.045591941,0.008338345,-0.037639673,-0.008467451
2020-09-25,0.001728609,-0.00878483,-0.016746803,-0.001430565,0.003395589
2020-09-28,0.00516797,0.031840606,-0.004836769,0.048593732,0.011794576
2020-09-29,0,0.016949558,0.018018506,-0.012267092,-0.006722714
2020-10-05,0.008554372,0.046520016,-0.009569451,0.016322909,0.006722714
2020-10-06,0.005097717,-0.024358444,-0.00240674,0.029259133,0.021541844
2020-10-07,0.015139061,0.00273598,0.004807702,-0.002628397,0
2020-10-08,-0.003344485,-0.013755375,-0.006013247,-0.003949022,-0.013201512
2020-10-12,0.011657085,-0.002773927,0.030881314,-0.019982475,-0.030356462
2020-10-13,0.00824407,-0.005571045,0.031090587,0.001340195,0.010221554
2020-10-14,0,-0.005602256,-0.019462549,-0.009446346,0.011794576
2020-10-15,-0.014888612,-0.011299555,0.00691247,-0.017801224,-0.020305266
2020-10-16,-0.00836825,-0.022989518,-0.020882429,-0.012505789,0.003412973
2020-10-19,0.00836825,-0.023530497,0.016279429,-0.012664167,-0.025885828
2020-10-20,0.014888612,-0.002980628,-0.01745245,-0.001426504,0.013889112
2020-10-21,0,-0.012012156,-0.016568426,0.002836881,0.025533302
