Date,asset,sell_ratio_svm,sell_ratio_ann,outlier_flag_svm,outlier_flag_ann
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-04,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-05,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
2025-06-09,Hyundai,,0.0,1,1
