Date,asset,pred_sharpe,pred_ES
2025-06-04,Hyundai,-0.0394376566281554,0.010001012
2025-06-04,KaKao,-0.0368035228935705,0.021206495
2025-06-04,Naver,-0.1444831132388463,0.020194188
2025-06-04,SKHynix,0.0769782088366765,0.017225201
2025-06-04,Samsung,0.0549931743685056,0.004925619
2025-06-05,Hyundai,-0.0209271790278074,0.009839485
2025-06-05,KaKao,0.0177483053572838,0.022525412
2025-06-05,Naver,-0.091635715038923,0.020439892
2025-06-05,SKHynix,0.0933459964963742,0.015939379
2025-06-05,Samsung,0.0814265730427982,0.005733802
2025-06-09,Hyundai,0.0081119517472286,0.009119082
2025-06-09,KaKao,0.0717254934721159,0.021534438
2025-06-09,Naver,-0.0640338708352451,0.019711237
2025-06-09,SKHynix,0.1166223791627191,0.014443704
2025-06-09,Samsung,0.090705643346864,0.005474951
2025-06-10,Hyundai,0.0118111875285011,0.008076163
2025-06-10,KaKao,0.0724220735219742,0.019460536
2025-06-10,Naver,-0.047683249157646,0.019218692
2025-06-10,SKHynix,0.1203778554358371,0.013459031
2025-06-10,Samsung,0.0840071735646753,0.00485463
2025-06-11,Hyundai,0.0168452757724485,0.007618537
2025-06-11,KaKao,0.0851165718217048,0.018628775
2025-06-11,Naver,-0.0494649886925682,0.018925837
2025-06-11,SKHynix,0.1125396823214864,0.013218326
2025-06-11,Samsung,0.0747368527668068,0.004537279
2025-06-12,Hyundai,0.0084628618796571,0.007074543
2025-06-12,KaKao,0.0870967086270911,0.01778864
2025-06-12,Naver,-0.0664130631444488,0.018549786
2025-06-12,SKHynix,0.09992630540931,0.012672413
2025-06-12,Samsung,0.0722611807983557,0.004078557
2025-06-13,Hyundai,0.0084934437494801,0.006613269
2025-06-13,KaKao,0.0929102794450022,0.017358552
2025-06-13,Naver,-0.0286287678149245,0.018521217
2025-06-13,SKHynix,0.0874471805112645,0.012841163
2025-06-13,Samsung,0.0556551421443562,0.003875598
2025-06-16,Hyundai,0.0157483729557034,0.006349449
2025-06-16,KaKao,0.1070861459345756,0.016819844
2025-06-16,Naver,-0.0017282043401441,0.018280189
2025-06-16,SKHynix,0.1095900144018203,0.012912112
2025-06-16,Samsung,-0.0013161354452248,0.004027757
2025-06-17,Hyundai,0.0227844619083358,0.006318961
2025-06-17,KaKao,0.08918015100728,0.016042843
2025-06-17,Naver,-0.0057937427093781,0.017742746
2025-06-17,SKHynix,0.1196745215887133,0.01277306
2025-06-17,Samsung,0.0116953314580928,0.004248147
2025-06-18,Hyundai,0.0137849010849594,0.006056361
2025-06-18,KaKao,0.1238999555985188,0.015461347
2025-06-18,Naver,0.0970218348122441,0.017399262
2025-06-18,SKHynix,0.107830727876174,0.012614256
2025-06-18,Samsung,0.0226846680723082,0.004442386
2025-06-19,Hyundai,0.022644886956764,0.005738191
2025-06-19,KaKao,0.1655341938098381,0.014588492
2025-06-19,Naver,0.1151182955353582,0.016339213
2025-06-19,SKHynix,0.0955324116783499,0.012492366
2025-06-19,Samsung,-0.0093377960558317,0.004537849
2025-06-20,Hyundai,0.024186832717545,0.005504337
2025-06-20,KaKao,0.190753659774487,0.013574372
2025-06-20,Naver,0.1435251568391961,0.015189803
2025-06-20,SKHynix,0.1042422315304526,0.012262861
2025-06-20,Samsung,-0.0260979713882455,0.004795154
2025-06-23,Hyundai,-0.0332794362486653,0.005257834
2025-06-23,KaKao,0.2153114448912249,0.012278193
2025-06-23,Naver,0.1825612446788944,0.013920389
2025-06-23,SKHynix,0.1194417064074998,0.011884043
2025-06-23,Samsung,-0.0307556666167431,0.005016617
2025-06-24,Hyundai,-0.0412727788833717,0.005151893
2025-06-24,KaKao,0.228265109121014,0.011111155
2025-06-24,Naver,0.1822106456476207,0.012525511
2025-06-24,SKHynix,0.1607915795272623,0.011571548
2025-06-24,Samsung,0.0143489795025986,0.005341447
2025-06-25,Hyundai,-0.008567623964951,0.004940356
2025-06-25,KaKao,0.2150412454348127,0.009932564
2025-06-25,Naver,0.1780455033447368,0.0112367
2025-06-25,SKHynix,0.1599356037124182,0.011000897
2025-06-25,Samsung,0.0034981239167908,0.005385066
2025-06-26,Hyundai,-0.0028404481987518,0.004822221
2025-06-26,KaKao,0.1825172298565784,0.008859846
2025-06-26,Naver,0.1468918035177122,0.010139865
2025-06-26,SKHynix,0.1905666905273653,0.010420284
2025-06-26,Samsung,-0.0163073932519242,0.005399896
2025-06-27,Hyundai,0.0069889139135856,0.004741391
2025-06-27,KaKao,0.1718457593116462,0.007972118
2025-06-27,Naver,0.1480790113474354,0.009231777
2025-06-27,SKHynix,0.1946915719770145,0.009838864
2025-06-27,Samsung,0.0128694405205747,0.005450335
2025-06-30,Hyundai,0.0295864987330728,0.004719559
2025-06-30,KaKao,0.1880614606022414,0.007357536
2025-06-30,Naver,0.1670613301888387,0.008559109
2025-06-30,SKHynix,0.2351821051048873,0.009375047
2025-06-30,Samsung,0.0329749943913624,0.005461738
2025-07-01,Hyundai,0.0470268700606379,0.004745841
2025-07-01,KaKao,0.1612911806699931,0.006853849
2025-07-01,Naver,0.1523186944669378,0.007915763
2025-07-01,SKHynix,0.206033850735385,0.00884113
2025-07-01,Samsung,0.0241723515803099,0.005700857
2025-07-02,Hyundai,0.0672835349337071,0.004680724
2025-07-02,KaKao,0.1647790955135367,0.006400852
2025-07-02,Naver,0.1348566824594476,0.007313684
2025-07-02,SKHynix,0.1904823197189772,0.008424863
2025-07-02,Samsung,0.0325604796438229,0.005905986
2025-07-03,Hyundai,0.0800639647568408,0.004637216
