Date,Return,Sigma_t,Zscore,Anomaly,Direction
2025-06-05,0.022242148733720768,0.019923576828341134,1.116373276011438,FALSE,Normal
2025-06-09,0.011774736544532871,0.01976524609103444,0.5957293165134897,FALSE,Normal
2025-06-10,-0.010084119066625874,0.019762728683434372,-0.5102594499047413,FALSE,Normal
2025-06-11,0.011754963231442872,0.01976268881710171,0.5948058657519656,FALSE,Normal
2025-06-12,-0.006700192569818242,0.01976268818580812,-0.33903244876523175,FALSE,Normal
2025-06-13,-0.02037421919513882,0.019762688175811432,-1.0309437164563409,FALSE,Normal
2025-06-16,-0.019048194970693544,0.019762688175653135,-0.9638463553839898,FALSE,Normal
2025-06-17,0.015611765472112182,0.019762688175650626,0.789961635449334,FALSE,Normal
2025-06-18,0.028839997098721426,0.01976268817565059,1.4593154960697554,FALSE,Normal
2025-06-19,-0.010084119066625874,0.019762688175650585,-0.5102604957887469,FALSE,Normal
2025-06-20,0.00505477066162463,0.019762688175650585,0.2557734361185015,FALSE,Normal
2025-06-23,-0.025533302005165126,0.019762688175650585,-1.2919953894037786,FALSE,Normal
2025-06-24,0.04220035449037596,0.019762688175650585,2.1353549737414066,FALSE,Normal
2025-06-25,0.013136477905369759,0.019762688175650585,0.6647110852841915,FALSE,Normal
2025-06-26,-0.01810749062738992,0.019762688175650585,-0.9162463358451399,FALSE,Normal
2025-06-27,0.009917436657346457,0.019762688175650585,0.501826298588551,FALSE,Normal
2025-06-30,-0.01658412801553588,0.019762688175650585,-0.8391635726949851,FALSE,Normal
2025-07-01,0.006666691358189425,0.019762688175650585,0.3373372741064341,FALSE,Normal
2025-07-02,0.009917436657346457,0.019762688175650585,0.501826298588551,FALSE,Normal
2025-07-03,0.04816340137862163,0.019762688175650585,2.4370875536033245,FALSE,Normal
2025-07-04,-0.007867861200614001,0.019762688175650585,-0.39811695305236444,FALSE,Normal
2025-07-07,-0.02560139823878771,0.019762688175650585,-1.2954410863159265,FALSE,Normal
2025-07-08,-0.004874095758244934,0.019762688175650585,-0.24663121306798028,FALSE,Normal
2025-07-09,-0.01642073021232804,0.019762688175650585,-0.8308955778880254,FALSE,Normal
2025-07-10,0.009884759232543061,0.019762688175650585,0.5001728077014329,FALSE,Normal
2025-07-11,0.025891413932740193,0.019762688175650585,1.3101159975109433,FALSE,Normal
2025-07-14,-0.0015987213636972086,0.019762688175650585,-0.0808959464161853,FALSE,Normal
2025-07-15,0.019018005835762963,0.019762688175650585,0.9623187729690975,FALSE,Normal
2025-07-16,0.015576638928736841,0.019762688175650585,0.7881842181737536,FALSE,Normal
2025-07-17,0.030443751414722442,0.019762688175650585,1.5404661119043457,FALSE,Normal
2025-07-18,0.00597909105605865,0.019762688175650585,0.30254442123037845,FALSE,Normal
2025-07-21,0.010378150968714195,0.019762688175650585,0.5251386287368038,FALSE,Normal
2025-07-22,-0.026907452919925134,0.019762688175650585,-1.361527980443346,FALSE,Normal
2025-07-23,0.006042314455962483,0.019762688175650585,0.30574355078916643,FALSE,Normal
2025-07-24,-0.006042314455962483,0.019762688175650585,-0.30574355078916643,FALSE,Normal
2025-07-25,-0.0015163005179630318,0.019762688175650585,-0.07672541834826149,FALSE,Normal
2025-07-28,0.06605482165553411,0.019762688175650585,3.3424006424854498,TRUE,Up
2025-07-29,0.0028368813352006583,0.019762688175650585,0.14354734082663673,FALSE,Normal
2025-07-30,0.027934777331553917,0.019762688175650585,1.4135110104085984,FALSE,Normal
2025-07-31,-0.016667052485212608,0.019762688175650585,-0.8433595843377178,FALSE,Normal
2025-08-01,-0.03564169132592454,0.019762688175650585,-1.8034839698497251,FALSE,Normal
2025-08-04,0.011544139746865412,0.019762688175650585,0.584138131627702,FALSE,Normal
2025-08-05,0.002865331473286048,0.019762688175650585,0.14498692929924356,FALSE,Normal
2025-08-06,-0.015861904300466634,0.019762688175650585,-0.8026187611465697,FALSE,Normal
2025-08-07,0.02440896487892452,0.019762688175650585,1.2351034769145712,FALSE,Normal
2025-08-08,0.018271766235955056,0.019762688175650585,0.9245587479575537,FALSE,Normal
2025-08-11,-0.011204599012861749,0.019762688175650585,-0.5669572334125489,FALSE,Normal
2025-08-12,0.00140745976787926,0.019762688175650585,0.07121803245437923,FALSE,Normal
2025-08-13,0.011188927917805458,0.019762688175650585,0.5661642696761884,FALSE,Normal
2025-08-14,-0.004181190760400355,0.019762688175650585,-0.21156994044726968,FALSE,Normal
2025-08-18,-0.02259983191724224,0.019762688175650585,-1.1435606186959562,FALSE,Normal
2025-08-19,0,0.019762688175650585,0,FALSE,Normal
2025-08-20,0.0071174677688645716,0.019762688175650585,0.3601467424676535,FALSE,Normal
2025-08-21,0.0014174346809738836,0.019762688175650585,0.07172276708389758,FALSE,Normal
