Date,Return,Sigma_t,Zscore,asset,Score,Level,LevelClass
2025-06-05,0.02224214873372076,0.01992357682834113,1.116373276011438,Samsung,37.2124425337146,Normal,level-Normal
2025-06-09,0.01177473654453287,0.01976524609103444,0.5957293165134897,Samsung,19.85764388378299,Normal,level-Normal
2025-06-10,-0.01008411906662587,0.01976272868343437,-0.5102594499047413,Samsung,17.008648330158042,Normal,level-Normal
2025-06-11,0.01175496323144287,0.01976268881710171,0.5948058657519656,Samsung,19.826862191732186,Normal,level-Normal
2025-06-12,-0.00670019256981824,0.01976268818580812,-0.33903244876523175,Samsung,11.301081625507726,Normal,level-Normal
2025-06-13,-0.02037421919513882,0.01976268817581143,-1.0309437164563409,Samsung,34.3647905485447,Normal,level-Normal
2025-06-16,-0.01904819497069354,0.01976268817565313,-0.9638463553839898,Samsung,32.12821184613299,Normal,level-Normal
2025-06-17,0.01561176547211218,0.01976268817565062,0.789961635449334,Samsung,26.3320545149778,Normal,level-Normal
2025-06-18,0.02883999709872142,0.01976268817565059,1.4593154960697554,Samsung,48.64384986899184,Normal,level-Normal
2025-06-19,-0.01008411906662587,0.01976268817565058,-0.5102604957887469,Samsung,17.00868319295823,Normal,level-Normal
2025-06-20,0.00505477066162463,0.01976268817565058,0.2557734361185015,Samsung,8.52578120395005,Normal,level-Normal
2025-06-23,-0.02553330200516512,0.01976268817565058,-1.2919953894037786,Samsung,43.06651298012596,Normal,level-Normal
2025-06-24,0.04220035449037596,0.01976268817565058,2.1353549737414066,Samsung,71.17849912471355,Warning,level-Warning
2025-06-25,0.01313647790536975,0.01976268817565058,0.6647110852841915,Samsung,22.15703617613972,Normal,level-Normal
2025-06-26,-0.01810749062738992,0.01976268817565058,-0.91624633584514,Samsung,30.541544528171332,Normal,level-Normal
2025-06-27,0.00991743665734645,0.01976268817565058,0.501826298588551,Samsung,16.727543286285034,Normal,level-Normal
2025-06-30,-0.01658412801553588,0.01976268817565058,-0.8391635726949851,Samsung,27.972119089832837,Normal,level-Normal
2025-07-01,0.00666669135818942,0.01976268817565058,0.3373372741064341,Samsung,11.244575803547804,Normal,level-Normal
2025-07-02,0.00991743665734645,0.01976268817565058,0.501826298588551,Samsung,16.727543286285034,Normal,level-Normal
2025-07-03,0.04816340137862163,0.01976268817565058,2.4370875536033245,Samsung,81.23625178677749,Warning,level-Warning
2025-07-04,-0.007867861200614,0.01976268817565058,-0.3981169530523645,Samsung,13.270565101745483,Normal,level-Normal
2025-07-07,-0.02560139823878771,0.01976268817565058,-1.2954410863159265,Samsung,43.181369543864214,Normal,level-Normal
2025-07-08,-0.00487409575824493,0.01976268817565058,-0.24663121306798028,Samsung,8.221040435599344,Normal,level-Normal
2025-07-09,-0.01642073021232804,0.01976268817565058,-0.8308955778880254,Samsung,27.696519262934178,Normal,level-Normal
2025-07-10,0.00988475923254306,0.01976268817565058,0.5001728077014329,Samsung,16.6724269233811,Normal,level-Normal
2025-07-11,0.02589141393274019,0.01976268817565058,1.310115997510943,Samsung,43.67053325036477,Normal,level-Normal
2025-07-14,-0.0015987213636972,0.01976268817565058,-0.0808959464161853,Samsung,2.6965315472061766,Normal,level-Normal
2025-07-15,0.01901800583576296,0.01976268817565058,0.9623187729690976,Samsung,32.07729243230325,Normal,level-Normal
2025-07-16,0.01557663892873684,0.01976268817565058,0.7881842181737536,Samsung,26.272807272458454,Normal,level-Normal
2025-07-17,0.03044375141472244,0.01976268817565058,1.5404661119043457,Samsung,51.34887039681152,Normal,level-Normal
2025-07-18,0.00597909105605865,0.01976268817565058,0.30254442123037845,Samsung,10.084814041012615,Normal,level-Normal
2025-07-21,0.01037815096871419,0.01976268817565058,0.5251386287368038,Samsung,17.50462095789346,Normal,level-Normal
2025-07-22,-0.02690745291992513,0.01976268817565058,-1.361527980443346,Samsung,45.3842660147782,Normal,level-Normal
2025-07-23,0.00604231445596248,0.01976268817565058,0.30574355078916643,Samsung,10.191451692972214,Normal,level-Normal
2025-07-24,-0.00604231445596248,0.01976268817565058,-0.30574355078916643,Samsung,10.191451692972214,Normal,level-Normal
2025-07-25,-0.00151630051796303,0.01976268817565058,-0.07672541834826149,Samsung,2.5575139449420496,Normal,level-Normal
2025-07-28,0.06605482165553411,0.01976268817565058,3.3424006424854498,Samsung,100,High,level-High
2025-07-29,0.00283688133520065,0.01976268817565058,0.14354734082663673,Samsung,4.784911360887891,Normal,level-Normal
2025-07-30,0.02793477733155391,0.01976268817565058,1.4135110104085984,Samsung,47.11703368028661,Normal,level-Normal
2025-07-31,-0.0166670524852126,0.01976268817565058,-0.8433595843377178,Samsung,28.111986144590595,Normal,level-Normal
2025-08-01,-0.03564169132592454,0.01976268817565058,-1.8034839698497251,Samsung,60.11613232832417,Warning,level-Warning
2025-08-04,0.01154413974686541,0.01976268817565058,0.584138131627702,Samsung,19.471271054256732,Normal,level-Normal
2025-08-05,0.00286533147328604,0.01976268817565058,0.14498692929924356,Samsung,4.832897643308119,Normal,level-Normal
2025-08-06,-0.01586190430046663,0.01976268817565058,-0.8026187611465697,Samsung,26.753958704885655,Normal,level-Normal
2025-08-07,0.02440896487892452,0.01976268817565058,1.2351034769145712,Samsung,41.17011589715238,Normal,level-Normal
2025-08-08,0.01827176623595505,0.01976268817565058,0.9245587479575536,Samsung,30.818624931918453,Normal,level-Normal
2025-08-11,-0.01120459901286174,0.01976268817565058,-0.5669572334125489,Samsung,18.89857444708496,Normal,level-Normal
2025-08-12,0.00140745976787926,0.01976268817565058,0.07121803245437923,Samsung,2.3739344151459743,Normal,level-Normal
