종목명,평균_Z,표준편차_Z,최대_Z,최소_Z,상승_횟수,하락_횟수,전체_관측값
Hyundai,0.1530748833327564,1.0055238276400669,3.4271762259234815,-2.172479660758669,1,0,54
KaKao,0.2187665599642657,1.1456010171599433,3.9433059196123668,-2.637351429017468,2,0,54
Naver,0.0984557597311373,1.0015985842681736,4.761655675749555,-2.3890562795871673,1,0,54
SKHynix,0.07563400759795579,1.0093543146918929,2.430156936264243,-3.225624515647486,0,1,54
Samsung,0.18727795391834706,1.0079816219795596,3.3424006424854498,-1.8034839698497251,1,0,54
